,RANK,PLAYER_ID,PLAYER,POINTS PER EVENT,TOTAL POINTS,%_FIR,FAIRWAYS HIT,POSSIBLE FAIRWAYS,%_GIR,GREENS HIT,# HOLES,RELATIVE/PAR,%_Scrambling,PAR OR BETTER,MISSED GIR,AVG_Putting,# OF PUTTS,# OF HOLES,AVG_SG_Tee,TOTAL SG:OTT,MEASURED ROUNDS,AVG_SG_APP,TOTAL SG:APP,AVG_SG_ARG,TOTAL SG:ARG,AVG_SG_PUTTING,TOTAL SG:PUTTING
195,196,47128,Richy Werenski,4.372,30.602,,,,,,,,,,,,,,,,,,,,,,
196,197,48319,Tom Whitney,4.112,82.237,0.6536016949152542,617.0,944.0,0.6919934640522876,847.0,1224.0,-0.27,0.5543766578249337,209.0,377.0,1.653,2023.0,1224.0,0.197,9.829,50.0,0.231,11.527,-0.392,-19.585,-0.637,-31.865
197,198,48699,Callum Tarren,4.045,88.99,0.5298969072164949,514.0,970.0,0.6642857142857143,837.0,1260.0,-0.26,0.5295508274231678,224.0,423.0,1.667,2101.0,1260.0,-0.344,-19.957,58.0,-0.092,-5.335,-0.182,-10.551,-0.629,-36.474
198,199,47663,Kevin Dougherty,3.787,71.955,0.5619158878504673,481.0,856.0,0.6881720430107527,768.0,1116.0,-0.26,0.5574712643678161,194.0,348.0,1.67,1864.0,1116.0,0.766,38.282,50.0,-0.518,-25.91,-0.372,-18.592,-0.414,-20.709
199,200,48119,Ben Taylor,3.785,79.491,0.5452436194895591,470.0,862.0,0.6370967741935484,711.0,1116.0,-0.27,0.5407407407407407,219.0,405.0,1.621,1809.0,1116.0,-0.675,-36.472,54.0,-0.644,-34.784,0.139,7.516,0.113,6.116
200,201,24924,Bill Haas,3.604,36.042,,,,,,,,,,,,,,,,,,,,,,
201,202,23320,Ryan Palmer,3.599,53.99,0.6510416666666666,375.0,576.0,0.6322751322751323,478.0,756.0,-0.24,0.5863309352517986,163.0,278.0,1.626,1229.0,756.0,0.125,4.507,36.0,-0.475,-17.108,-0.111,-3.979,-0.414,-14.904
202,203,33122,Russell Knox,3.592,25.145,,,,,,,,,,,,,,,,,,,,,,
203,204,32448,James Hahn,3.502,35.015,,,,,,,,,,,,,,,,,,,,,,
204,205,27095,Nick Watney,3.327,33.269,,,,,,,,,,,,,,,,,,,,,,
205,206,26758,David Hearn,3.2,3.2,,,,,,,,,,,,,,,,,,,,,,
206,207,30750,Tommy Gainey,3.057,12.227,,,,,,,,,,,,,,,,,,,,,,
207,208,47079,Harrison Endycott,2.968,44.524,,,,,,,,,,,,,,,,,,,,,,
208,209,37338,Zecheng Dou,2.87,22.961,,,,,,,,,,,,,,,,,,,,,,
209,210,33674,Adrian Meronk,2.813,11.25,,,,,,,,,,,,,,,,,,,,,,
210,211,34431,Robert Streb,2.41,12.049,,,,,,,,,,,,,,,,,,,,,,
211,212,27770,Camilo Villegas,2.35,44.65,0.5780274656679151,463.0,801.0,0.6627680311890838,680.0,1026.0,-0.24,0.5115606936416185,177.0,346.0,1.672,1715.0,1026.0,-0.96,-42.252,44.0,-0.251,-11.034,-0.057,-2.51,-0.72,-31.69
212,213,51070,Vincent Norrman,2.253,42.8,0.582723279648609,398.0,683.0,0.6825396825396826,602.0,882.0,-0.19,0.5178571428571429,145.0,280.0,1.713,1511.0,882.0,0.214,9.839,46.0,-0.313,-14.375,-0.322,-14.806,-0.954,-43.863
213,214,25198,Francesco Molinari,2.252,27.021,,,,,,,,,,,,,,,,,,,,,,
214,215,56762,Will Gordon,2.194,19.75,,,,,,,,,,,,,,,,,,,,,,
215,216,56149,Wilson Furr,2.047,36.847,0.5418781725888325,427.0,788.0,0.6647173489278753,682.0,1026.0,-0.27,0.5813953488372093,200.0,344.0,1.635,1677.0,1026.0,-0.102,-4.694,46.0,-0.399,-18.352,-0.025,-1.13,-0.024,-1.108
216,217,29478,Kevin Kisner,2.045,36.814,0.6223404255319149,468.0,752.0,0.6234567901234568,606.0,972.0,-0.24,0.5601092896174863,205.0,366.0,1.636,1590.0,972.0,-0.732,-34.398,47.0,-0.65,-30.567,-0.414,-19.451,0.105,4.924
217,218,33597,Harry Higgs,1.915,11.49,,,,,,,,,,,,,,,,,,,,,,
218,219,27963,Chris Stroud,1.804,1.804,,,,,,,,,,,,,,,,,,,,,,
219,220,27974,Sung Kang,1.745,12.214,,,,,,,,,,,,,,,,,,,,,,
220,221,8793,Tiger Woods,1.65,8.25,,,,,,,,,,,,,,,,,,,,,,
221,222,37278,Nicholas Lindheim,1.603,19.231,,,,,,,,,,,,,,,,,,,,,,
222,223,29970,Dylan Frittelli,1.5,6.0,,,,,,,,,,,,,,,,,,,,,,
223,224,30110,Kyle Stanley,1.338,2.676,,,,,,,,,,,,,,,,,,,,,,
224,225,19803,Ryan Armour,1.058,2.116,,,,,,,,,,,,,,,,,,,,,,
225,226,24925,Jonathan Byrd,0.996,4.978,,,,,,,,,,,,,,,,,,,,,,
226,226,31560,Brian Stuard,0.996,1.991,,,,,,,,,,,,,,,,,,,,,,
227,228,23983,Luke Donald,0.992,5.95,,,,,,,,,,,,,,,,,,,,,,
228,229,31557,Jim Herman,0.964,4.822,,,,,,,,,,,,,,,,,,,,,,
229,230,60767,Blaine Hale Jr.,0.93,15.813,0.5346260387811634,386.0,722.0,0.6527777777777778,611.0,936.0,-0.27,0.49846153846153846,162.0,325.0,1.639,1534.0,936.0,-0.384,-14.575,38.0,-0.157,-5.948,-0.661,-25.104,-0.187,-7.114
230,231,27649,Brandt Snedeker,0.905,19.9,0.6203473945409429,500.0,806.0,0.6369731800766284,665.0,1044.0,-0.25,0.5593667546174143,212.0,379.0,1.617,1688.0,1044.0,-0.561,-29.148,52.0,-0.697,-36.233,-0.054,-2.793,0.147,7.658
231,232,35449,Adam Long,0.872,10.467,,,,,,,,,,,,,,,,,,,,,,
232,233,35901,Paul Haley II,0.809,3.236,,,,,,,,,,,,,,,,,,,,,,
233,234,24980,Scott Gutschewski,0.695,11.819,,,,,,,,,,,,,,,,,,,,,,
234,235,28259,Sangmoon Bae,0.669,2.676,,,,,,,,,,,,,,,,,,,,,,
