,RANK,PLAYER_ID,PLAYER,POINTS PER EVENT,TOTAL POINTS,%_FIR,FAIRWAYS HIT,POSSIBLE FAIRWAYS,%_GIR,GREENS HIT,# HOLES,RELATIVE/PAR,%_Scrambling,PAR OR BETTER,MISSED GIR,AVG_Putting,# OF PUTTS,# OF HOLES,AVG_SG_Tee,TOTAL SG:OTT,MEASURED ROUNDS,AVG_SG_APP,TOTAL SG:APP,AVG_SG_ARG,TOTAL SG:ARG,AVG_SG_PUTTING,TOTAL SG:PUTTING
0,1,46046,Scottie Scheffler,300.373,4805.967,0.6303956834532374,701.0,1112.0,0.7138888888888889,1028.0,1440.0,-0.36,0.6868932038834952,283.0,412.0,1.557,2242.0,1440.0,0.748,53.865,72.0,1.291,92.921,0.322,23.209,0.382,27.512
1,2,28237,Rory McIlroy,246.023,3444.328,0.5124378109452736,412.0,804.0,0.6772030651340997,707.0,1044.0,-0.34,0.6379821958456974,215.0,337.0,1.588,1658.0,1044.0,0.671,33.536,50.0,0.157,7.844,0.118,5.921,0.597,29.844
2,3,34098,Russell Henley,159.392,2390.884,0.6867588932806324,695.0,1012.0,0.7006172839506173,908.0,1296.0,-0.29,0.634020618556701,246.0,388.0,1.603,2077.0,1296.0,0.071,4.663,66.0,0.577,38.068,0.449,29.657,0.22,14.526
3,4,33448,Justin Thomas,134.112,2279.907,0.5331541218637993,595.0,1116.0,0.6527777777777778,940.0,1440.0,-0.36,0.592,296.0,500.0,1.548,2229.0,1440.0,0.078,5.432,70.0,0.325,22.731,0.259,18.154,0.34,23.772
4,5,49960,Sepp Straka,129.765,2595.307,0.6566037735849056,696.0,1060.0,0.7017543859649122,960.0,1368.0,-0.32,0.5931372549019608,242.0,408.0,1.596,2183.0,1368.0,0.228,15.537,68.0,0.677,46.037,-0.07,-4.778,0.237,16.112
5,6,34099,Harris English,124.015,2232.268,0.6138698630136986,717.0,1168.0,0.6613756613756614,1000.0,1512.0,-0.27,0.634765625,325.0,512.0,1.598,2416.0,1512.0,0.247,18.057,73.0,-0.055,-4.033,-0.007,-0.499,0.431,31.438
6,7,30911,Tommy Fleetwood,111.424,1782.791,0.6536964980544747,672.0,1028.0,0.6584084084084084,877.0,1332.0,-0.32,0.6329670329670329,288.0,455.0,1.568,2089.0,1332.0,0.242,15.963,66.0,0.711,46.937,0.272,17.942,0.404,26.693
7,8,39324,J.J. Spaun,107.207,2144.131,0.6103789126853377,741.0,1214.0,0.6896551724137931,1080.0,1566.0,-0.29,0.6049382716049383,294.0,486.0,1.611,2523.0,1566.0,0.291,22.088,76.0,0.738,56.063,0.017,1.28,0.113,8.575
8,9,33141,Keegan Bradley,97.165,1748.967,0.6138790035587188,690.0,1124.0,0.6604166666666667,951.0,1440.0,-0.29,0.6257668711656442,306.0,489.0,1.583,2280.0,1440.0,0.316,23.033,73.0,0.278,20.31,0.443,32.327,-0.056,-4.067
9,10,52955,Ludvig Åberg,91.681,1558.584,0.5952380952380952,575.0,966.0,0.6618357487922706,822.0,1242.0,-0.32,0.6,252.0,420.0,1.586,1970.0,1242.0,0.524,31.446,60.0,0.038,2.253,-0.107,-6.428,0.051,3.066
10,11,54591,Ben Griffin,90.997,2274.913,0.5877697841726619,817.0,1390.0,0.6894444444444444,1241.0,1800.0,-0.3,0.6332737030411449,354.0,559.0,1.597,2874.0,1800.0,0.196,18.663,95.0,0.466,44.308,0.153,14.521,0.407,38.646
11,12,39997,Corey Conners,89.999,1619.99,0.6663716814159292,753.0,1130.0,0.6920438957475995,1009.0,1458.0,-0.28,0.5902004454342984,265.0,449.0,1.628,2374.0,1458.0,0.388,28.306,73.0,0.315,23.022,-0.153,-11.187,0.133,9.728
12,13,50525,Collin Morikawa,89.197,1427.158,0.7065420560747664,756.0,1070.0,0.6922514619883041,947.0,1368.0,-0.29,0.5985748218527316,252.0,421.0,1.621,2217.0,1368.0,0.492,32.458,66.0,0.765,50.472,-0.052,-3.407,-0.313,-20.684
13,14,33204,Shane Lowry,84.605,1438.288,0.6301229508196722,615.0,976.0,0.6706349206349206,845.0,1260.0,-0.26,0.6216867469879518,258.0,415.0,1.606,2023.0,1260.0,0.085,5.156,61.0,0.765,46.688,0.042,2.565,-0.123,-7.516
14,15,22405,Justin Rose,81.326,1219.893,0.5853960396039604,473.0,808.0,0.6398467432950191,668.0,1044.0,-0.32,0.5531914893617021,208.0,376.0,1.581,1651.0,1044.0,-0.254,-12.443,49.0,0.25,12.238,-0.067,-3.297,0.156,7.627
15,16,46717,Viktor Hovland,80.64,1209.606,0.6313465783664459,572.0,906.0,0.6726495726495727,787.0,1170.0,-0.31,0.5744125326370757,220.0,383.0,1.6,1872.0,1170.0,0.099,5.616,57.0,0.945,53.84,-0.13,-7.387,-0.07,-3.97
16,17,35450,Patrick Cantlay,79.7,1275.202,0.5894230769230769,613.0,1040.0,0.7004504504504504,933.0,1332.0,-0.31,0.5964912280701754,238.0,399.0,1.608,2142.0,1332.0,0.298,19.638,66.0,0.564,37.218,0.04,2.629,0.155,10.245
17,18,46442,Maverick McNealy,79.629,1672.214,0.5887850467289719,756.0,1284.0,0.6793478260869565,1125.0,1656.0,-0.3,0.5800376647834274,308.0,531.0,1.62,2682.0,1656.0,0.212,17.628,83.0,0.275,22.8,-0.084,-6.937,0.381,31.613
18,19,28089,Jason Day,76.451,1070.313,0.5960591133004927,484.0,812.0,0.6522988505747126,681.0,1044.0,-0.3,0.6115702479338843,222.0,363.0,1.581,1651.0,1044.0,0.155,7.592,49.0,-0.138,-6.772,0.208,10.17,0.138,6.74
19,20,52215,Robert MacIntyre,74.412,1488.235,0.6147959183673469,723.0,1176.0,0.6865079365079365,1038.0,1512.0,-0.28,0.6075949367088608,288.0,474.0,1.616,2443.0,1512.0,0.228,17.82,78.0,0.312,24.31,0.103,8.065,0.251,19.573
20,21,48081,Xander Schauffele,73.335,953.351,0.5558035714285714,498.0,896.0,0.6692708333333334,771.0,1152.0,-0.3,0.5748031496062992,219.0,381.0,1.616,1862.0,1152.0,0.076,3.962,52.0,0.578,30.032,-0.016,-0.847,-0.184,-9.549
21,22,25493,Nick Taylor,71.896,1437.914,0.6592128801431127,737.0,1118.0,0.6854166666666667,987.0,1440.0,-0.27,0.6269315673289183,284.0,453.0,1.62,2333.0,1440.0,0.002,0.178,72.0,0.427,30.71,0.097,6.95,0.128,9.24
22,23,51997,Andrew Novak,70.636,1624.625,0.5703389830508474,673.0,1180.0,0.6058823529411764,927.0,1530.0,-0.3,0.5970149253731343,360.0,603.0,1.559,2385.0,1530.0,0.053,4.121,78.0,-0.083,-6.479,0.188,14.651,0.162,12.61
23,24,27644,Brian Harman,70.633,1412.669,0.6313628899835796,769.0,1218.0,0.6519795657726692,1021.0,1566.0,-0.29,0.6073394495412844,331.0,545.0,1.598,2503.0,1566.0,-0.023,-1.764,77.0,0.047,3.606,0.133,10.258,0.064,4.903
24,25,57366,Cameron Young,69.737,1464.474,0.5385245901639344,657.0,1220.0,0.6417624521072797,1005.0,1566.0,-0.34,0.5935828877005348,333.0,561.0,1.557,2438.0,1566.0,0.317,25.647,81.0,-0.124,-10.012,-0.033,-2.662,0.642,52.018
25,26,32839,Hideki Matsuyama,68.894,1308.979,0.584983498349835,709.0,1212.0,0.6569767441860465,1017.0,1548.0,-0.3,0.6497175141242938,345.0,531.0,1.581,2447.0,1548.0,-0.171,-12.459,73.0,0.485,35.384,0.477,34.797,-0.036,-2.618
26,27,40026,Daniel Berger,61.416,1166.9,0.6663479923518164,697.0,1046.0,0.6792592592592592,917.0,1350.0,-0.26,0.6073903002309469,263.0,433.0,1.625,2194.0,1350.0,0.422,26.979,64.0,0.524,33.525,-0.196,-12.565,-0.221,-14.137
27,28,47504,Sam Burns,60.302,1266.332,0.601978691019787,791.0,1314.0,0.6607565011820331,1118.0,1692.0,-0.34,0.6027874564459931,346.0,574.0,1.553,2628.0,1692.0,0.146,12.26,84.0,-0.118,-9.904,-0.014,-1.211,0.983,82.585
28,29,25900,Lucas Glover,59.531,1190.625,0.6835564053537285,715.0,1046.0,0.654074074074074,883.0,1350.0,-0.27,0.6017130620985011,281.0,467.0,1.588,2144.0,1350.0,0.117,7.859,67.0,0.458,30.691,0.165,11.055,-0.316,-21.139
29,30,29936,Ryan Fox,59.276,1126.249,0.5227743271221532,505.0,966.0,0.6420634920634921,809.0,1260.0,-0.32,0.5476718403547672,247.0,451.0,1.586,1998.0,1260.0,-0.047,-3.003,64.0,0.303,19.388,0.021,1.32,0.193,12.371
30,31,63343,Aldrich Potgieter,55.353,941.0,0.5546666666666666,416.0,750.0,0.6440329218106996,626.0,972.0,-0.32,0.5346820809248555,185.0,346.0,1.594,1549.0,972.0,0.615,26.448,43.0,-0.162,-6.955,-0.329,-14.132,0.078,3.356
